Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
03/29/2016,"3,283","9,869",5.05,16,670,305,18,0,"1,559"
03/30/2016,"3,593","11,065",6.25,41,681,195,27,45,"1,800"
03/31/2016,"3,459","10,001",5.63,28,727,194,5,39,"1,618"
04/01/2016,"2,916","8,334",4.26,11,730,119,67,8,"1,071"
04/02/2016,"3,273","9,312",4.76,19,580,304,22,4,"1,599"
04/03/2016,"3,496","12,432",6.93,41,632,205,9,45,"1,727"
04/04/2016,"3,882","14,197",7.86,46,671,209,44,49,"2,091"
04/05/2016,"3,169","13,367",7.23,26,474,177,53,45,"1,840"
04/06/2016,"3,795","13,983",7.7,39,574,232,41,40,"2,028"
04/07/2016,"3,255","10,720",5.48,28,595,231,34,20,"1,517"
04/08/2016,"3,712","13,652",7.58,35,626,252,34,40,"2,014"
